"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP4,JP2";"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK";;;
2;"R6";"0603R";1;"47k";;;
3;"H3,H1,H4,H2";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
4;"D4";"0402LED";1;"blue";;;
5;"R3,R1";"0603R";2;"1k";;;
6;"K3";"CR1220_HOLDER";1;"CR1220_HOLDER";;;
7;"D1,D2";"M4_DIODA";2;"M4_DIODA";;;
8;"K8";"DSHP03TS-S";1;"DSHP03TS-S";;;
9;"R5,R4,R7";"0603R";3;"10k";;;
10;"K7,K5";"easyC-connector";2;"easyC-SMD";;;
11;"R2";"0603R";1;"4k7";;;
12;"R10,R9";"0402R";2;"2k2";;;
13;"U2";"L86-M33";1;"L86-M33";;;
14;"K6";"HEADER-UPDI";1;"HEADER-UPDI";;;
15;"K1";"IPX connector with SMA";1;"IPX connector with SMA";;;
16;"D3";"0402LED";1;"purple";;;
17;"U5";"SOIC-14";1;"ATTINY1604-SSNR";;;
18;"C2,C5";"0603C";2;"100n";;;
19;"C3";"1206C";1;"10u";;;
20;"Q1";"SOT-23-3";1;"NPN";;;
